DEPENDENCIA
CECyT 17 L. GTO
CECyT 2 MB
CECyT 3 ERR
CECyT 4 LC
CECyT 5 BJ
CECyT 6 MOM
CECyT 7 C
CECyT 8 NB
CECyT 9 JDB
CET 1 WCB
CICS M. A.
CICS S. T.
ESCA S. T.
ESCA TEP.
ESCUELA NACIONAL DE BIBLIOTECONOMIA Y ARCHIVONOMIA
ESIA TEC.
ESIA TIC.
ESIA ZAC.
ESIME AZC.
ESIME CUL.
ESIME TIC.
ESIME ZAC.
UPI ENERGÍA Y MOVILIDAD
UPII PALENQUE
UPII TLAXCALA
CENTRO MEXICANO PARA LA PRODUCCIÓN MÁS LIMPIA ( CMP+L)
CIBA TLAX.
CICATA  ALT.
CICATA  LEG.
CICATA  QRO.
CIIDIR  MICH.
CIIDIR DGO.
CIIDIR OAX.
CIIDIR SIN.
CEC  MORELOS
CEC TLAXCALA
CM ESIME EMD
COORDINACIÓN GENERAL DE ORGANIZACIÓN E INFORMACIÓN INSTITUCIONAL
DIRECCIÓN DE DIFUSIÓN DE CIENCIA Y TECNOLOGÍA 
C.E.C. ING. EUGENIO MENDEZ DOCURRO
C.E.C. MORELOS
C.E.C. TLAXCALA
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL MORELIA
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL OAXACA
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL TAMPICO
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL TIJUANA
"CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD CAJEME, SONORA"
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD CAMPECHE
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD CANCÚN
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD CULIACÁN
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD DURANGO
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD LOS MOCHIS
CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD MAZATLÁN

































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































